Name;Weapon Type;Weapon Category;Weapon Group;Trait;Damage;Damage_Type;Hands;Range;Reload;Bulk;Price;Level;from
Fist;Melee;weapon_unarmed;Brawling;Agile, Finesse, Nonlethal, Unarmed;1d4;Bludgeoning;1;;;;;0;base
Clan Dagger;Melee;weapon_simple;Knife;Agile, Dwarf, Parry, Uncommon, Versatile B;1d4;Piercing;1;;;L;200;0;base
Club;Melee;weapon_simple;Club;Thrown 10 ft.;1d6;Bludgeoning;1;;;1;;0;base
Dagger;Melee;weapon_simple;Knife;Agile, Finesse, Thrown 10 ft., Versatile S;1d4;Piercing;1;;;L;20;0;base
Gauntlet;Melee;weapon_simple;Brawling;Agile, Free-Hand;1d4;Bludgeoning;1;;;L;20;0;base
Katar;Melee;weapon_simple;Knife;Agile, Deadly d6, Monk, Uncommon;1d4;Piercing;1;;;L;30;0;base
Light Mace;Melee;weapon_simple;Club;Agile, Finesse, Shove;1d4;Bludgeoning;1;;;L;40;0;base
Longspear;Melee;weapon_simple;Spear;Reach;1d8;Piercing;2;;;2;50;0;base
Mace;Melee;weapon_simple;Club;Shove;1d6;Bludgeoning;1;;;1;100;0;base
Morningstar;Melee;weapon_simple;Club;Versatile P;1d6;Bludgeoning;1;;;1;100;0;base
Sickle;Melee;weapon_simple;Knife;Agile, Finesse, Trip;1d4;Slashing;1;;;L;20;0;base
Spear;Melee;weapon_simple;Spear;Monk, Thrown 20 ft.;1d6;Piercing;1;;;1;10;0;base
Spiked Gauntlet;Melee;weapon_simple;Brawling;Agile, Free-Hand;1d4;Piercing;1;;;L;30;0;base
Staff;Melee;weapon_simple;Club;Monk, Two-Hand 1d8;1d4;Bludgeoning;1;;;1;;0;base
Adze;Melee;weapon_martial;Axe;Forceful, Sweep, Tripkee;1d10;Slashing;2;;;2;100;0;base
Bastard Sword;Melee;weapon_martial;Sword;Two-Hand 1d12;1d8;Slashing;1;;;1;400;0;base
Battle Axe;Melee;weapon_martial;Axe;Sweep;1d8;Slashing;1;;;1;100;0;base
Bo Staff;Melee;weapon_martial;Club;Monk, Parry, Reach, Trip;1d8;Bludgeoning;2;;;2;20;0;base
