Name;Rarity;Trait;Level;Price;Bulk;Usage;from;description
Primal Symbol;Common;;0;;;;base;
Candle;Common;;0;1 cp;;;base;
Chalk;Common;;0;1 cp (10 pieces);;;base;
Mug;Common;;0;1 cp;;;base;
Oil;Common;;0;1 cp;;;base;
Piton;Common;;0;1 cp;;;base;
Sack;Common;;0;1 cp;L;;base;
Ten-Foot Pole;Common;;0;1 cp;1;;base;
Torch;Common;;0;1 cp;L;;base;
Bedroll;Common;;0;2 cp;L;;base;
Soap;Common;;0;2 cp;;;base;
Ladder (10 ft.);Common;;0;3 cp;3;;base;
Flint and Steel;Common;;0;5 cp;;;base;
Waterskin;Common;;0;5 cp;L;;base;
Signal Whistle;Common;;0;8 cp;;;base;
Backpack;Common;;0;1 sp;;;base;
Basic Crafter's Book;Common;;0;1 sp;L;;base;
Clothing (Explorer's);Common;;0;1 sp;L;;base;
Clothing (Ordinary);Common;;0;1 sp;;;base;
Disguise Kit (Replacement Cosmetics);Common;;0;1 sp;L;;base;
Grappling Hook;Common;;0;1 sp;L;;base;
Hammer;Common;;0;1 sp;L;;base;
Religious Symbol (Wooden);Common;;0;1 sp;L;;base;
Writing Set (Extra Ink and Paper);Common;;0;1 sp;L;;base;
Lock (Poor);Common;;0;2 sp;;;base;
Merchant's Scale;Common;;0;2 sp;L;;base;
Saddlebags;Common;;0;2 sp;L;;base;
Caltrops;Common;;0;3 sp;L;;base;
Manacles (Poor);Common;;0;3 sp;;;base;
Thieves' Toolkit (Replacement Picks);Common;;0;3 sp;L;;base;
Clothing (Winter);Common;;0;4 sp;L;;base;
Rations;Common;;0;4 sp (1 week);L;;base;
Tool (Short);Common;;0;4 sp;L;;base;
Climbing Kit;Common;;0;5 sp;1;;base;
Crowbar;Common;;0;5 sp;L;;base;
Dueling Cape;Common;;0;5 sp;L;;base;
Material Component Pouch;Common;;0;5 sp;L;;base;
Parrying Scabbard;Common;;0;5 sp;L;;base;
Rope;Common;;0;5 sp (50 ft.);L;;base;
Chest;Common;;0;6 sp;2;;base;
Lantern (Hooded);Common;;0;7 sp;L;;base;
Fishing Tackle;Common;;0;8 sp;1;;base;
Musical Instrument (Handheld);Common;;0;8 sp;1;;base;
Tent (Pup);Common;;0;8 sp;L;;base;
Brass Ear;Common;;0;1 gp;;;base;
Compass;Common;;0;1 gp;;;base;
Cookware;Common;;0;1 gp;2;;base;
Formula Book (Blank);Common;;0;1 gp;L;;base;
Lantern (Bull's-Eye);Common;;0;1 gp;1;;base;
Mirror;Common;;0;1 gp;;;base;
Net;Common;;0;1 gp;1;;base;
Religious Text;Common;;0;1 gp;L;;base;
Spellbook (Blank);Common;;0;1 gp;L;;base;
Tool (Long);Common;;0;1 gp;1;;base;
Writing Set;Common;;0;1 gp;L;;base;
Adventurer's Pack;Common;;0;1 gp, 5 sp;1;;base;
Armored Skirt;Common;;0;2 gp;1;;base;
Clothing (Fine);Common;;0;2 gp;L;;base;
Disguise Kit;Common;;0;2 gp;L;;base;
Musical Instrument (Heavy);Common;;0;2 gp;16;;base;
Religious Symbol (Silver);Common;;0;2 gp;L;;base;
Repair Toolkit;Common;;0;2 gp;1;;base;
Alchemist's Toolkit;Common;;0;3 gp;1;;base;
Hourglass;Common;;0;3 gp;L;;base;
Thieves' Toolkit;Common;;0;3 gp;L;;base;
Artisan's Toolkit;Common;;0;4 gp;2;;base;
Chain;Common;;0;4 gp (10 ft.);1;;base;
Tack;Common;;0;4 gp;1;;base;
Alchemist's Lab;Common;;0;5 gp;6;;base;
Healer's Toolkit;Common;;0;5 gp;1;;base;
Snare Kit;Common;;0;5 gp;2;;base;
Tent (Four-Person);Common;;0;5 gp;1;;base;
Barding (Light, Small or Medium);Common;;0;10 gp;2;;base;
Map (Local Map);Common;;0;10 gp;;;base;
Barding (Light, Large);Common;;0;20 gp;4;;base;
Map (Geographical Map);Common;;0;20 gp;;;base;
Map (Political Map);Common;;0;20 gp;;;base;
Spyglass;Common;;0;20 gp;L;;base;
Map (Geologic Map);Common;;0;25 gp;;;base;
Map (Nautical Chart);Common;;0;25 gp;;;base;
Barding (Heavy, Large);Common;;0;50 gp;8;;base;
Map (Pictorial Map);Common;;0;50 gp;;;base;
Map (Weather Map);Common;;0;50 gp;;;base;
Map (Treasure Map);Common;;0;200 gp;;;base;
Surprise Doll;Common;;1;1 gp;L;held in 1 hand;base;
Lock (Simple);Common;;1;2 gp;;;base;
Manacles (Simple);Common;;1;3 gp;;;base;
Loaded Dice;Common;;1;5 gp;L;held in 2 hands;base;
Fetters (Simple);Common;;2;5 gp;L;;base;
Surprise Doll (Exquisite);Common;;2;10 gp;L;held in 1 hand;base;
Barding (Heavy, Small or Medium);Common;;2;25 gp;4;;base;
Periscope;Common;;2;25 gp;L;;base;
Tent (Pavilion);Common;;2;40 gp;12;;base;
Disguise Kit (Elite Cosmetics);Common;;3;5 sp;L;;base;
Thieves' Toolkit (Infiltrator Picks);Common;;3;3 gp;L;;base;
