Name;Rarity;Trait;Item Subcategory;Level;Price;Bulk;Usage;from;description;common_use
Marvelous Miniature (Campfire);Common;Consumable, Expandable, Magical;Other Consumables;1;10;;1 hand;base;;
Gecko Potion;Common;Consumable, Magical, Potion;Potions;1;30;L;1 hand;base;;
Holy Water;Common;Consumable, Divine, Holy, Splash;Other Consumables;1;30;L;1 hand;base;;
Marvelous Miniature (Ladder);Common;Consumable, Expandable, Magical;Other Consumables;1;30;;1 hand;base;;
Nectar of Purification;Common;Consumable, Magical, Oil;Oils;1;30;L;1 hand;base;;
Potion of Emergency Escape;Common;Consumable, Magical, Potion;Potions;1;30;L;1 hand;base;;
Ration Tonic;Common;Consumable, Magical, Potion;Potions;1;30;L;1 hand;base;;
Runestone;Common;Consumable, Magical;Other Consumables;1;30;L;1 hand;base;;
Shining Ammunition;Common;Consumable, Light, Magical;Magical Ammunition;1;30;;;base;;
Unholy Water;Common;Consumable, Divine, Splash, Unholy;Other Consumables;1;30;L;1 hand;base;;
1st-rank Scroll;Common;Consumable, Magical, Scroll;Scrolls;1;40;L;1 hand;base;;
Healing Potion (Minor);Common;Consumable, Healing, Magical, Potion, Vitality;Potions;1;40;L;1 hand;base;;
Oil of Unlife (Minor);Common;Consumable, Magical, Oil, Void;Oils;1;40;L;1 hand;base;;
Potion of Retaliation (Minor);Common;Consumable, Magical, Potion;Potions;1;40;L;1 hand;base;;
Potion of Shared Memories;Common;Consumable, Magical, Mental, Potion;Potions;1;40;L;1 hand;base;;
Shielding Salve;Common;Consumable, Magical, Oil;Oils;1;40;L;2 hands;base;;
Feather Token (Holly Bush);Common;Conjuration, Consumable, Magical;Other Consumables;2;60;;;base;;
Oil of Weightlessness;Common;Consumable, Magical, Oil;Oils;2;60;L;2 hands;base;;
Antler Arrow;Common;Consumable, Magical;Magical Ammunition;2;70;;;base;;
Oil of Potency;Common;Consumable, Magical, Oil;Oils;2;70;L;2 hands;base;;
Feather Token (Bird);Common;Conjuration, Consumable, Magical;Other Consumables;3;80;;;base;;
Oil of Mending;Common;Consumable, Magical, Oil;Oils;3;90;L;2 hands;base;;
Beacon Shot;Common;Consumable, Magical;Magical Ammunition;3;100;;;base;;
Marvelous Miniature (Chest);Common;Consumable, Expandable, Magical;Other Consumables;3;100;;1 hand;base;;
Slumber Arrow;Common;Consumable, Magical, Mental, Sleep;Magical Ammunition;3;100;;;base;;
Vine Arrow;Common;Consumable, Magical;Magical Ammunition;3;100;;;base;;
Potion of Water Breathing;Common;Consumable, Magical, Potion;Potions;3;110;L;1 hand;base;;
Sleep Arrow;Common;Consumable, Enchantment, Magical, Mental, Sleep;Magical Ammunition;3;110;;;base;;
2nd-rank Scroll;Common;Consumable, Magical, Scroll;Scrolls;3;120;L;1 hand;base;;
Healing Potion (Lesser);Common;Consumable, Healing, Magical, Potion, Vitality;Potions;3;120;L;1 hand;base;;
Oil of Unlife (Lesser);Common;Consumable, Magical, Oil, Void;Oils;3;120;L;1 hand;base;;
Potion of Retaliation (Lesser);Common;Consumable, Magical, Potion;Potions;3;120;L;1 hand;base;;
Spellstrike Ammunition (Type I);Common;Consumable, Magical;Magical Ammunition;3;120;;;base;;
Marvelous Miniature (Horse);Common;Consumable, Expandable, Magical;Other Consumables;4;130;;1 hand;base;;
Climbing Bolt;Common;Consumable, Magical;Magical Ammunition;4;150;;;base;;
Feather Token (Fan);Common;Conjuration, Consumable, Magical;Other Consumables;4;150;;;base;;
Oak Potion;Common;Consumable, Plant, Potion, Primal, Wood;Potions;4;150;L;1 hand;base;;
Shrinking Potion;Common;Consumable, Magical, Potion;Potions;4;150;L;1 hand;base;;
Viper Arrow;Common;Consumable, Magical;Magical Ammunition;4;170;;;base;;
Invisibility Potion;Uncommon;Consumable, Illusion, Magical, Potion, Uncommon;Potions;4;200;L;1 hand;base;;
Potion of Leaping;Common;Consumable, Magical, Potion;Potions;5;210;L;1 hand;base;;
Freezing Ammunition;Common;Cold, Consumable, Magical;Magical Ammunition;5;250;;;base;;
Oil of Revelation;Common;Consumable, Magical, Oil;Oils;5;250;L;2 hands;base;;
Tricky Liniment;Common;Consumable, Magical, Oil;Oils;5;250;L;2 hands;base;;
3rd-rank Scroll;Common;Consumable, Magical, Scroll;Scrolls;5;300;L;1 hand;base;;
Frozen Lava;Common;Consumable, Fire, Magical;Other Consumables;5;300;;1 hand;base;;
Potion of Disguise (Lesser);Uncommon;Consumable, Magical, Polymorph, Potion, Uncommon;Potions;5;300;L;1 hand;base;;
Spellstrike Ammunition (Type II);Common;Consumable, Magical;Magical Ammunition;5;300;;;base;;
Potion of Resistance (Lesser);Common;Consumable, Magical, Potion;Potions;5;450;L;1 hand;base;;
Oil of Weightlessness (Greater);Common;Consumable, Magical, Oil;Oils;6;360;L;2 hands;base;;
Feather Token (Tree);Common;Conjuration, Consumable, Magical;Other Consumables;6;380;;;base;;
Salve of Antiparalysis;Common;Consumable, Healing, Magical, Oil;Oils;6;400;L;2 hands;base;;
Truth Potion;Uncommon;Consumable, Magical, Mental, Potion, Uncommon;Potions;6;460;L;1 hand;base;;
Dust of Appearance;Common;Consumable, Divination, Magical;Other Consumables;6;500;;;base;;
Healing Potion (Moderate);Common;Consumable, Healing, Magical, Potion, Vitality;Potions;6;500;L;1 hand;base;;
